Region,AgeName,Top (Ma),Bottom (Ma),broader (Epoch),broaderTransitive (Period),broaderTransitive (Era),broaderTransitive (Eon)
New Zealand,Haweran,0,0.34,Wanganui,Quaternary,Cenozoic,Phanerozoic
New Zealand,Castlecliffian,0.34,1.63,Wanganui,Quaternary,Cenozoic,Phanerozoic
New Zealand,Nukumaruan,1.63,2.4,Wanganui,Quaternary,Cenozoic,Phanerozoic
New Zealand,Mangapanian,2.4,3,Wanganui,Neogene,Cenozoic,Phanerozoic
New Zealand,Waipipian,3,3.7,Wanganui,Neogene,Cenozoic,Phanerozoic
New Zealand,Opoitian,3.7,5.33,Wanganui,Neogene,Cenozoic,Phanerozoic
New Zealand,Kapitean,5.33,7.2,Taranaki,Neogene,Cenozoic,Phanerozoic
New Zealand,Tongaporutuan,7.2,11.04,Taranaki,Neogene,Cenozoic,Phanerozoic
New Zealand,Waiauan,11.04,13.05,Southland,Neogene,Cenozoic,Phanerozoic
New Zealand,Lillburnian,13.05,15.1,Southland,Neogene,Cenozoic,Phanerozoic
New Zealand,Clifdenian,15.1,15.9,Southland,Neogene,Cenozoic,Phanerozoic
New Zealand,Altonian,15.9,18.7,Pareora,Neogene,Cenozoic,Phanerozoic
New Zealand,Otaian,18.7,21.7,Pareora,Neogene,Cenozoic,Phanerozoic
New Zealand,Waitakian,21.7,25.2,Landon,Paleogene,Cenozoic,Phanerozoic
New Zealand,Duntroonian,25.2,27.3,Landon,Paleogene,Cenozoic,Phanerozoic
New Zealand,Whaingaroan,27.3,34.6,Landon,Paleogene,Cenozoic,Phanerozoic
New Zealand,Runangan,34.6,36.7,Arnold,Paleogene,Cenozoic,Phanerozoic
New Zealand,Kaiatan,36.7,39.1,Arnold,Paleogene,Cenozoic,Phanerozoic
New Zealand,Bortonian,39.1,42.51,Arnold,Paleogene,Cenozoic,Phanerozoic
New Zealand,Porangan,42.51,45.7,Dannevirke,Paleogene,Cenozoic,Phanerozoic
New Zealand,Heretaungan,45.7,48.9,Dannevirke,Paleogene,Cenozoic,Phanerozoic
New Zealand,Mangaorapan,48.9,52,Dannevirke,Paleogene,Cenozoic,Phanerozoic
New Zealand,Waipawan,52,55.96,Dannevirke,Paleogene,Cenozoic,Phanerozoic
New Zealand,Teurian,55.96,66.04,Dannevirke,Paleogene,Cenozoic,Phanerozoic
New Zealand,Haumurian,66.04,83.64,Mata,Cretaceous,Mesozoic,Phanerozoic
New Zealand,Piripauan,83.64,86.5,Mata,Cretaceous,Mesozoic,Phanerozoic
